"depth","tave","tave_errors","tmin","tmin_errors","tmax","tmax_errors","annp","annp_errors","min_dissim","analog_ID2_1","analog_1","analog_1_LATDD","analog_1_LONDD","dissim_1","analog_ID2_2","analog_2","analog_2_LATDD","analog_2_LONDD","dissim_2","analog_ID2_3","analog_3","analog_3_LATDD","analog_3_LONDD","dissim_3","analog_ID2_4","analog_4","analog_4_LATDD","analog_4_LONDD","dissim_4","analog_ID2_5","analog_5","analog_5_LATDD","analog_5_LONDD","dissim_5","analog_ID2_6","analog_6","analog_6_LATDD","analog_6_LONDD","dissim_6","analog_ID2_7","analog_7","analog_7_LATDD","analog_7_LONDD","dissim_7"
0.16,15.2982570589826,1.67457747107783,4.21491192120615,5.234583211401,25.5427888487418,3.67220744651358,1178.7515491403,129.379889604416,0.064442223133743,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.064442223133743,42,"Dismal Swamp [1]",36.583,-76.45,0.193366958453112,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.20284441325535,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.277204689511751,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.28737968101245,121,"Rockyhock Bay1",36.167,-76.683,0.300900200902452,4858,"Dismal Swamp Surface 100.PC",36.61685555,-76.49556669,0.302650653953457
0.22,15.3100858928423,1.67486690370432,5.25800859556897,4.7592297912301,24.976640568986,3.56109548770665,1179.92794931618,129.482600328598,0.0679080478648534,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.0679080478648534,42,"Dismal Swamp [1]",36.583,-76.45,0.162270600780341,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.163054062681141,4858,"Dismal Swamp Surface 100.PC",36.61685555,-76.49556669,0.232234564849993,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.244533569628541,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.251565398101423,4953,"Roanoke Surface Treetag 283",35.88246,-76.80487,0.261713457857815
0.3,15.43311294793,1.68553599697031,1.23742028276794,5.57352703188532,28.1329003539741,4.17153044249399,1186.92296428348,129.867772448102,0.125264079419037,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.125264079419037,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.237436196818195,42,"Dismal Swamp [1]",36.583,-76.45,0.260878103436613,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.313414098624085,121,"Rockyhock Bay1",36.167,-76.683,0.329439490885292,4858,"Dismal Swamp Surface 100.PC",36.61685555,-76.49556669,0.368944688029275,1787,"White Lake",34.65,-78.5,0.372543779339929
0.4,15.4034266755978,1.68439959575505,1.22148216605328,5.88219012675069,27.5860990729291,4.32156709412433,1188.17759207414,129.772737487118,0.141616339611843,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.141616339611843,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.165218020428379,121,"Rockyhock Bay1",36.167,-76.683,0.191158147368755,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.191578804969046,42,"Dismal Swamp [1]",36.583,-76.45,0.203726247469663,4849,"Dismal Swamp Surface 600N",36.5882948,-76.49696119,0.224029045143141,4851,"Dismal Swamp Surface 536PC",36.50699956,-76.45263358,0.241089882517421
0.47,15.2972941647185,1.67442694088257,4.42298486698648,5.22832977990096,25.7351519408607,3.86872017241124,1177.59849715629,129.20016715736,0.0907650041317606,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.0907650041317606,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.115117094883538,42,"Dismal Swamp [1]",36.583,-76.45,0.179637372068529,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.203407239030635,4858,"Dismal Swamp Surface 100.PC",36.61685555,-76.49556669,0.226564617810672,121,"Rockyhock Bay1",36.167,-76.683,0.243912615831377,4849,"Dismal Swamp Surface 600N",36.5882948,-76.49696119,0.256747942058761
0.52,15.298893930812,1.6748375082555,4.7321980240218,4.87376863520482,25.4382195069566,3.61740294555492,1178.2669965016,129.386278336828,0.0824068784092581,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.0824068784092581,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.179927629332889,42,"Dismal Swamp [1]",36.583,-76.45,0.186016310032781,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.256521145042113,4858,"Dismal Swamp Surface 100.PC",36.61685555,-76.49556669,0.267331419524056,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.280622315044114,121,"Rockyhock Bay1",36.167,-76.683,0.300460711484861
0.6,15.3269197108769,1.67487193641063,6.4966685049308,4.52505064170048,23.8699087429053,3.21383001772478,1182.6403990537,129.384699091751,0.0431750550673443,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.0431750550673443,42,"Dismal Swamp [1]",36.583,-76.45,0.177295649565642,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.219037162261872,4953,"Roanoke Surface Treetag 283",35.88246,-76.80487,0.269979878223093,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.273432544179742,4858,"Dismal Swamp Surface 100.PC",36.61685555,-76.49556669,0.27576711222847,4862,"Dismal Swamp Surface 592N",36.65900823,-76.47132237,0.279096881976726
0.7,15.3099687498893,1.6758954318393,4.99711989509546,4.78840204191084,24.7844730470996,3.35934616624107,1179.79779582947,129.567412574646,0.0904246995498673,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.0904246995498673,42,"Dismal Swamp [1]",36.583,-76.45,0.195550010293089,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.260786677537234,4858,"Dismal Swamp Surface 100.PC",36.61685555,-76.49556669,0.322813884466355,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.333195660637685,4862,"Dismal Swamp Surface 592N",36.65900823,-76.47132237,0.343387643125716,4927,"Roanoke Surface Treetag 500",35.88177,-77.01417,0.349392521022008
0.8,15.3856301180435,1.67854115382271,2.51969123441379,5.55663854336269,26.8677089487185,3.83095668840967,1187.23114025256,129.68557967335,0.128575704479937,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.128575704479937,42,"Dismal Swamp [1]",36.583,-76.45,0.149182222239555,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.181615682390861,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.187909577883555,121,"Rockyhock Bay1",36.167,-76.683,0.235219435925665,4953,"Roanoke Surface Treetag 283",35.88246,-76.80487,0.249908194254773,4858,"Dismal Swamp Surface 100.PC",36.61685555,-76.49556669,0.256579681308672
0.9,15.6479871814602,1.70931946207555,1.02033060973214,5.59880677504607,28.3011583895303,4.08458177800023,1199.05599474868,130.402338044629,0.149474525804836,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.149474525804836,42,"Dismal Swamp [1]",36.583,-76.45,0.30850427498818,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.348189942769381,4927,"Roanoke Surface Treetag 500",35.88177,-77.01417,0.397063876347245,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.410039153621792,1787,"White Lake",34.65,-78.5,0.43331562911893,121,"Rockyhock Bay1",36.167,-76.683,0.449878969724814
