"depth","tave","tave_errors","tmin","tmin_errors","tmax","tmax_errors","annp","annp_errors","min_dissim","analog_ID2_1","analog_1","analog_1_LATDD","analog_1_LONDD","dissim_1","analog_ID2_2","analog_2","analog_2_LATDD","analog_2_LONDD","dissim_2","analog_ID2_3","analog_3","analog_3_LATDD","analog_3_LONDD","dissim_3","analog_ID2_4","analog_4","analog_4_LATDD","analog_4_LONDD","dissim_4","analog_ID2_5","analog_5","analog_5_LATDD","analog_5_LONDD","dissim_5","analog_ID2_6","analog_6","analog_6_LATDD","analog_6_LONDD","dissim_6","analog_ID2_7","analog_7","analog_7_LATDD","analog_7_LONDD","dissim_7"
0.5,15.3651377119948,1.67761658074147,9.77097561125419,3.2940940921568,21.0247330059906,1.67096072719124,1198.05551583246,129.266242979883,0.0789719669344905,4850,"Dismal Swamp Surface 564PC",36.71309807,-76.43328287,0.0789719669344905,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.125014557832612,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.129687808057897,4951,"Roanoke Surface Treetag 291",35.869,-76.83317,0.133668983288015,4925,"Roanoke Surface Treetag 89",35.89282,-77.03937,0.137356658683228,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.137683816276319,4846,"Dismal Swamp Surface 516PC",36.49594501,-76.50088551,0.14101121317247
1.5,15.3751341497094,1.67730926246898,9.68002545307626,3.29423534735284,21.1604735114975,1.66796364657915,1203.6003060144,129.119792295918,0.0731844242210113,4925,"Roanoke Surface Treetag 89",35.89282,-77.03937,0.0731844242210113,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.0880372024445584,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.0934915599883163,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.0965939078303883,4912,"Roanoke Surface Treetag 346",35.9352,-77.13089,0.0975622796617728,4953,"Roanoke Surface Treetag 283",35.88246,-76.80487,0.099060311481617,4948,"Roanoke Surface Treetag 353",35.87174,-76.89866,0.100750835035265
2.5,15.3467449271156,1.67767585612739,9.73153629631406,3.30975299992628,21.0782816462953,1.7427458237324,1194.7092335487,129.332498177395,0.0875683995572109,4850,"Dismal Swamp Surface 564PC",36.71309807,-76.43328287,0.0875683995572109,4925,"Roanoke Surface Treetag 89",35.89282,-77.03937,0.110149775290283,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.114537545721586,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.125454315545892,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.126673377353832,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.13536304705908,4953,"Roanoke Surface Treetag 283",35.88246,-76.80487,0.138575883552752
3.5,15.3418992235587,1.67712431962522,9.55388546948734,3.29559546632889,21.2100828038018,1.66986766306598,1201.43878043468,129.230476404094,0.0915771047929288,4850,"Dismal Swamp Surface 564PC",36.71309807,-76.43328287,0.0915771047929288,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.113290106794276,4925,"Roanoke Surface Treetag 89",35.89282,-77.03937,0.117943073361899,4942,"Roanoke Surface Treetag 70",35.8566,-76.89575,0.119846054496232,4912,"Roanoke Surface Treetag 346",35.9352,-77.13089,0.128775474065022,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.129249971121256,4967,"Roanoke Surface Treetag 980",35.93169,-77.17277,0.129796291594901
4.5,15.31465880478,1.67704629682112,9.51808110761077,3.41737342664526,21.0502074140721,1.69611874305985,1191.08093172005,129.237175073653,0.101110382863597,4850,"Dismal Swamp Surface 564PC",36.71309807,-76.43328287,0.101110382863597,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.105916954823682,4864,"Dismal Swamp Surface 510N",36.4584142,-76.48189497,0.117171353205411,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.123420276734608,4912,"Roanoke Surface Treetag 346",35.9352,-77.13089,0.125169740901476,4967,"Roanoke Surface Treetag 980",35.93169,-77.17277,0.13170161093489,4863,"Dismal Swamp Surface 81.PC",36.59756142,-76.52742539,0.133908567810065
5.5,15.3623128095878,1.67758308848255,9.70448036807673,3.29392113948603,21.0495735999733,1.67114852515914,1199.98338172708,129.411200117326,0.0749088845210009,4863,"Dismal Swamp Surface 81.PC",36.59756142,-76.52742539,0.0749088845210009,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.0783770818974287,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.0842269353258373,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.0901947209559519,4942,"Roanoke Surface Treetag 70",35.8566,-76.89575,0.0974518702727036,4912,"Roanoke Surface Treetag 346",35.9352,-77.13089,0.102393186458836,4937,"Roanoke Surface Treetag 32",35.8979,-76.9333,0.105506941107977
6.5,15.3490023670129,1.67761153335962,9.79175936038228,3.29316996678657,20.9717690954795,1.6722136119441,1195.1643943495,129.31389705401,0.0858316759113518,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.0858316759113518,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.0906518886499835,4850,"Dismal Swamp Surface 564PC",36.71309807,-76.43328287,0.0907577147039669,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.0922922927133224,4942,"Roanoke Surface Treetag 70",35.8566,-76.89575,0.0949283736608814,4951,"Roanoke Surface Treetag 291",35.869,-76.83317,0.100478792090381,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.107964957215432
7.5,15.3669259101987,1.67745460125307,9.71345977289437,3.29400089779606,21.0686889644375,1.66874062956938,1198.07307309594,129.2144620961,0.168449556578893,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.168449556578893,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.172752110860355,4937,"Roanoke Surface Treetag 32",35.8979,-76.9333,0.175646438508796,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.180297645637087,4863,"Dismal Swamp Surface 81.PC",36.59756142,-76.52742539,0.181601993380452,4911,"Roanoke Surface Treetag 344",35.93557,-77.13209,0.182186372360457,4925,"Roanoke Surface Treetag 89",35.89282,-77.03937,0.194843646579742
8.5,15.2999137245936,1.67736534954666,7.3090069283652,4.43895751643427,22.4981710293135,2.8144120782621,1178.37938376291,129.035596749462,0.0703913680031794,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.0703913680031794,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.0734024523094277,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.0738162480374591,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.0852832378637769,4858,"Dismal Swamp Surface 100.PC",36.61685555,-76.49556669,0.0984281756048753,42,"Dismal Swamp [1]",36.583,-76.45,0.0985423892937057,4850,"Dismal Swamp Surface 564PC",36.71309807,-76.43328287,0.0991974251509015
9.5,15.3238906276786,1.67737308349267,9.80513127212393,3.29311203033723,20.8589207395817,1.66748791460893,1188.36171248489,129.165074194347,0.0508984798911937,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.0508984798911937,4863,"Dismal Swamp Surface 81.PC",36.59756142,-76.52742539,0.0670919381791873,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.0680398298466565,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.0731627862831122,4861,"Dismal Swamp Surface 588PC",36.62913362,-76.48433737,0.0766362181167999,4937,"Roanoke Surface Treetag 32",35.8979,-76.9333,0.0899053480314694,4951,"Roanoke Surface Treetag 291",35.869,-76.83317,0.0942652035879056
10.5,15.3320850702125,1.67795155036483,9.8389549934138,3.29293040093672,20.8717591197643,1.67011386745721,1189.39409838853,129.301981659552,0.0710727086776027,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.0710727086776027,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.0712076818329974,4850,"Dismal Swamp Surface 564PC",36.71309807,-76.43328287,0.0736718036670225,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.0756188688844635,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.0782127735701162,4951,"Roanoke Surface Treetag 291",35.869,-76.83317,0.0881631105642349,4953,"Roanoke Surface Treetag 283",35.88246,-76.80487,0.0932412650183999
11.5,15.3070977357212,1.67748048336594,9.85460631032682,3.29243789024798,20.7805263299092,1.66659505797481,1183.88761394823,129.281597583807,0.0773404163669885,4850,"Dismal Swamp Surface 564PC",36.71309807,-76.43328287,0.0773404163669885,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.0894805676816765,4863,"Dismal Swamp Surface 81.PC",36.59756142,-76.52742539,0.0896868703126392,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.0925822176500348,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.10247486990493,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.104395098404809,4951,"Roanoke Surface Treetag 291",35.869,-76.83317,0.107204996890735
12.5,15.3753254434781,1.67756289481212,9.69522285367164,3.29381072234001,21.085191820192,1.66841007062052,1204.08325989614,129.206860709552,0.0676751427851185,4863,"Dismal Swamp Surface 81.PC",36.59756142,-76.52742539,0.0676751427851185,4951,"Roanoke Surface Treetag 291",35.869,-76.83317,0.0770218284684,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.079273332428546,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.083075270768134,4942,"Roanoke Surface Treetag 70",35.8566,-76.89575,0.0853377818396692,4912,"Roanoke Surface Treetag 346",35.9352,-77.13089,0.0867668608454734,4937,"Roanoke Surface Treetag 32",35.8979,-76.9333,0.0952885097767457
13.5,15.3441207560325,1.67730349182147,9.71605316390954,3.29391123534616,21.0702789320405,1.67151207584388,1196.65072996789,129.236090230097,0.105928582477928,4850,"Dismal Swamp Surface 564PC",36.71309807,-76.43328287,0.105928582477928,4925,"Roanoke Surface Treetag 89",35.89282,-77.03937,0.112459935506259,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.118287701884986,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.120801175645429,4942,"Roanoke Surface Treetag 70",35.8566,-76.89575,0.123431045404182,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.126015430885913,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.130840916902681
14.5,15.2689759070405,1.67699349041265,9.87251834298137,3.29208195451623,20.6972911196914,1.6622190278901,1176.87148603632,128.821807860487,0.0750918029259427,4863,"Dismal Swamp Surface 81.PC",36.59756142,-76.52742539,0.0750918029259427,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.0776043387848811,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.0835662969722825,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.0912993109827534,4850,"Dismal Swamp Surface 564PC",36.71309807,-76.43328287,0.0936046275986811,4866,"Dismal Swamp Surface 589N",36.62924233,-76.49206147,0.100758294888433,4868,"Dismal Swamp Surface 545PC",36.61045983,-76.44519749,0.100785804724609
15.5,15.2724137888132,1.67669763184654,9.8541866275868,3.30837950595167,20.6981150511156,1.66137683687769,1177.10007738405,128.788042628691,0.0693319242429101,4863,"Dismal Swamp Surface 81.PC",36.59756142,-76.52742539,0.0693319242429101,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.0758788416236981,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.0788263497797063,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.0804379623473449,4868,"Dismal Swamp Surface 545PC",36.61045983,-76.44519749,0.0949256975334755,4861,"Dismal Swamp Surface 588PC",36.62913362,-76.48433737,0.0986285401610146,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.101008822860423
16.5,15.2822134583054,1.67705489079404,9.8578041413566,3.2919614004304,20.7347153358384,1.66383594390988,1180.0179496127,128.939313443513,0.0490441634010939,4863,"Dismal Swamp Surface 81.PC",36.59756142,-76.52742539,0.0490441634010939,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.0664037469743636,4866,"Dismal Swamp Surface 589N",36.62924233,-76.49206147,0.0711372202726569,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.0758954202328212,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.0829802970361696,4865,"Dismal Swamp Surface 519N",36.52950799,-76.53124519,0.0869196592055334,4861,"Dismal Swamp Surface 588PC",36.62913362,-76.48433737,0.0924375324597391
17.5,15.2793500673227,1.67680388958578,9.70004723172968,3.43547052148797,20.831979641786,1.74354475540259,1178.19792296809,128.814721607055,0.0708708584522363,4863,"Dismal Swamp Surface 81.PC",36.59756142,-76.52742539,0.0708708584522363,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.0777735218330137,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.097260448322069,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.103969464584588,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.10891206812283,4861,"Dismal Swamp Surface 588PC",36.62913362,-76.48433737,0.110419272931886,4858,"Dismal Swamp Surface 100.PC",36.61685555,-76.49556669,0.117293834622155
20.5,15.3609265506988,1.67747130353522,9.77644269632134,3.2923739702429,20.982903594986,1.66750157560655,1196.13787209971,129.214574441513,0.0633362539596976,4859,"Dismal Swamp Surface 82.PC",36.60138189,-76.52574322,0.0633362539596976,4863,"Dismal Swamp Surface 81.PC",36.59756142,-76.52742539,0.0637007911355008,4937,"Roanoke Surface Treetag 32",35.8979,-76.9333,0.06845569216682,4857,"Dismal Swamp Surface 599PC",36.54938894,-76.53757461,0.0705827462034648,4865,"Dismal Swamp Surface 519N",36.52950799,-76.53124519,0.0714018642475205,4855,"Dismal Swamp Surface 506.PC",36.45447445,-76.48585693,0.0764280372673129,4941,"Roanoke Surface Treetag 70",35.8566,-76.89575,0.0817483379292003
