ID2,ID1,Flag,Sites.corrected,ENUM,SITE,DBCODE,SITECODE,SITENAME,LONDD,LATDD,ELEVATION,POLLSUM,ABIES,ACNEGUNA,ACPENSYL,ACRUBRUM,ACSACNUM,ACSACRUM,ACERX,ALCRISPA,ALRUBRA,ALRUGOSA,ALNUSX,AMBROSIA,AMORPHA,ANACARDI,APIACEAE,AQUIFOLI,ARCEUTHOBI,ARECACEAE,ARMERIA,ARTEMISIA,ASTERX,ASTERCICHO,BETULA,BORAGINACEAE,BOTRYCHIUM,BRASSICACEAE,CACTACEAE,CAMPANULACEA,CAPRIFOLIA,CARYA,CARYOPHYLL,CASTANEA,CEANOTHUS,CELTIS,CEPHALANTH,CERCOCAR,CHENOAMX,CHRYSOLEP,CORNUS,CORYLUS,CUPRESSA,CYPERACE,DODECATH,DRYAS,ELAEAGNX,EPHEDRA,EQUISETU,ERILEDCH,ERIVACCI,ERICACEX,ERICALES,ERIOGONUM,EUPHORB,FABACEAE,FAGUS,FRAXNIGR,FRAXPNAM,FRAXINUX,IVA,JUGCINER,JUGNIGRA,JUGLANSX,KOENISLD,LAMIACEAE,LARIXPSEU,LARREA,LILIACEAE,LIQUIDAM,LIRIODEN,LYCOANNO,LYCOCLAV,LYCOCOMP,LYCOSELA,LYCOPODX,MAGNOLIACE,MALVACEAE,MORACEAX,MYRICACX,NYSSA,ONAGRACEAE,OSMUNDACEA,OSTRYCAR,OXYRIA,PAPAVERX,PEDICULARI,PICGLAUC,PICMARIA,PICEAX,PINDIPLO,PINHAPLO,PINUSX,PLANTAGINX,PLATANUS,POACEAE,POLEMONI,POLYGONAX,POLYGBIS,POLYGONMX,POLYGVIV,POLYPOD,POPULUS,POTENTILLA,PROSOPIS,PTERIDIUM,QUERCUS,RANUNCUL,RHAMNACEAE,ROSACEAX,RUBIACEAE,RUBUS,RUMEX,RUMEOXYR,SALIX,SANGUI,SARCOBATUS,SXFRACER,SXFRAHIE,SXFRAOPP,SXFRATRI,SXFRAGAX,SCROPHUL,SELAGINE,SHEPHERDIA,SPHAGNUM,TAXODIUM,TAXUS,THALICTRUM,TILIA,TSUGHETE,TSUGMERT,TSUGAX,ULMUS,URTICACX,XANTHIUM,KGDISCR,DepEnv,DescrEnv,DataForm,COLLECTOR,YrOfSamp,DepthAtLoc,princInvest,YrOfPubl,AuthYr,Citation,Notes,Other
0,4,4,0,0,8,8,GPD4,G5,Anderson Pond,-85.5,36.033,305,532.0,0.0,1,0,102,0,0,0.0,0.0,0.0,0,80.0,73.0,0,0,0.0,0,0.0,0,0,0.0,5.0,0.0,4.0,0,0.0,0.0,0,0,0,19,0.0,0,0.0,6,26,0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,5,1,3.0,1,0,2,1,0,0.0,0.0,0,0.0,8,0,0,0,0,0,0.0,0,0,0,0,5,0.0,0,4,0,0,0,0,0.0,0.0,7.0,1.0,19.0,0.0,8,18.0,0.0,0,0.0,0.0,0,0.0,1,0,0,0.0,95.0,0.0,0.0,0.0,0,3,0.0,0,2.0,0.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,12,0,1,LACU,LACU,lacustrine,RC,"Delcourt,Hazel R.",1976,18.0,"Delcourt,Hazel R.",1979,"Delcourt, H.R. 1979. ","Delcourt, H.R. 1979. Late Quaternary vegetation history of the eastern Highland Rim and adjacent Cumberland Plateau of Tennessee. Ecological Monographs 49:255-280.",0,0
1,12,12,0,0,22,22,GPD12,G16,Big Pond,-78.55,39.767,634,356.0,0.0,0,0,2,0,0,0.0,0.0,0.0,1,0.0,14.0,0,0,0.0,1,0.0,0,0,0.0,0.0,0.0,7.0,0,0.0,0.0,0,0,0,5,0.0,9,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,1,0.0,0,0,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,9,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,58.0,0.0,2,16.0,0.0,0,0.0,0.0,0,0.0,0,0,0,4.0,150.0,0.0,1.0,0.0,59,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,LACU,LACU,lacustrine,RC,0,0,0.0,"Watts,William A.",1979,"Watts, W.A. 1975. ","Watts, W.A. 1979. Late Quaternary vegetation of central Appalachia and the New Jersey coastal plain. Ecological Monographs 49:427-469.",Recorded values were derived by applying percentages to a pollen sum. No counts at 30cm due to poor pollen preservation.,0
2,13,13,0,0,25,25,GPD13,G19,BL-Tombigbee,-88.474,33.563,49,163.0,0.0,0,0,1,1,0,0.0,0.0,0.0,0,9.0,16.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,5,0.0,0,0.0,2,0,0,2.0,0.0,0.0,0.0,4.0,8.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,8,0,0,0,0,0,0.0,0,0,0,0,20,0.0,2,3,0,0,0,0,0.0,0.0,14.0,0.0,17.0,0.0,1,2.0,0.0,0,0.0,0.0,0,2.0,0,0,0,0.0,33.0,0.0,3.0,0.0,0,0,0.0,0,1.0,0.0,0.0,0,0,0,0,2,0,0,0,1,0,0,0,0,0.0,0.0,0.0,6,0,0,LACU,LACU,lacustrine,RC,0,0,0.0,"Whitehead,Donald R.",  ,0,0,0,0
3,19,20,0,0,38,38,GPD20,G28,Camel Lake,-85.017,30.267,20,632.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,4.0,8.0,0,0,0.0,2,0.0,0,0,0.0,8.0,0.0,1.0,0,0.0,0.0,0,0,1,17,0.0,0,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0,0,0,0,0,4.0,6.0,0.0,0,0,0,0,0,9.0,3,0,0,0,0,0.0,0.0,0,0.0,28,0,0,0,0,0,0.0,0,0,0,20,3,0.0,0,6,0,0,0,0,0.0,0.0,49.0,0.0,301.0,0.0,0,18.0,0.0,0,0.0,0.0,0,0.0,1,0,0,0.0,103.0,0.0,2.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,9,0,0,LACU,LSOL,"solution hollow, natural open water",RC,"Grimm,Eric C.",1986,440.0,"Grimm,Eric C.",1992,"Watts, W.A., B.C.S. Hansen, and E.C. Grimm. 1992. ","Watts, W.A., B.C.S. Hansen, and E.C. Grimm. 1992. Camel Lake: A 40,000-yr record of vegetational and forest history from northwest Florida. Ecology 73:1056-1066.",0,0
4,30,31,0,0,57,57,GPD31,G41,Cranberry Glades,-80.283,38.2,1029,326.0,0.0,0,0,2,0,1,0.0,0.0,0.0,0,4.0,13.0,0,0,0.0,0,0.0,0,0,1.0,2.0,0.0,46.0,0,0.0,0.0,0,0,9,9,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,7.0,0.0,0.0,0,0,15,2,2,0.0,1,0,2,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,1,0.0,6,5,0,0,0,0,0.0,20.0,0.0,0.0,38.0,2.0,1,6.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,108.0,0.0,1.0,5.0,0,0,2.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.0,5,0,0,PEAT,TMIR,mire,RC,0,0,0.0,"Watts,William A.",1979,"Watts, W.A. 1975. ","Watts, W.A. 1979. Late Quaternary vegetation of central Appalachia and the New Jersey coastal plain. Ecological Monographs 49:427-469.",Recorded values were derived by applying percentages to a pollen sum.,0
5,33,34,0,0,60,60,GPD34,G44,Crider's Pond,-77.55,39.967,290,314.0,0.0,0,0,5,0,0,0.0,0.0,0.0,0,1.0,20.0,0,0,1.0,0,0.0,0,0,0.0,3.0,0.0,8.0,0,0.0,0.0,0,0,0,14,0.0,5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,0,0.0,0,0,3,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,3,0.0,5,0,0,0,0,0,0.0,0.0,0.0,0.0,57.0,2.0,0,7.0,0.0,0,0.0,1.0,0,2.0,0,0,0,0.0,139.0,0.0,0.0,0.0,12,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,3.0,2,0,0,LACU,LACU,lacustrine,RC,0,0,0.0,"Watts,William A.",1979,"Watts, W.A. 1975. ","Watts, W.A. 1979. Late Quaternary vegetation of central Appalachia and the New Jersey coastal plain. Ecological Monographs 49:427-469.",Recorded values were derived by applying percentages to a pollen sum.,0
6,35,36,0,0,64,64,GPD36,G46,Cupola Pond,-91.1,36.8,244,487.5,0.0,0,0,0,0,1,1.0,0.0,0.0,1,0.0,14.0,0,0,0.0,0,0.0,0,0,3.0,5.0,0.0,0.0,0,3.0,0.0,0,0,0,20,0.0,0,0.0,0,18,0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,6,0,0.0,3,0,0,2,0,0.0,0.0,0,0.0,3,0,0,0,0,0,2.0,0,0,0,0,50,0.0,0,0,0,0,0,0,0.0,0.0,71.5,0.0,18.0,0.0,0,27.0,0.0,0,0.0,1.0,0,0.0,5,0,0,0.0,199.0,0.0,0.0,0.0,0,1,0.0,0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,3,0,0,LACU,LACU,lacustrine,RC,0,0,0.0,"Smith,E. N.",1984,"Smith, E.N., Jr. 1984. ","Smith, E.N., Jr. 1984. Late-Quaternary vegetational history at Cupola Pond, Ozark National Scenic Riverways, southeastern Missouri. Thesis. The University of Tennessee, Knoxville, Tennessee, USA.",0,0
7,42,43,0,0,74,74,GPD43,G54,Dismal Swamp [1],-76.45,36.583,6,671.0,0.0,0,0,11,0,0,0.0,0.0,0.0,0,4.0,6.0,0,0,0.0,8,0.0,0,0,0.0,2.0,1.0,3.0,0,0.0,0.0,0,0,0,6,0.0,0,0.0,0,3,0,0.0,0.0,0.0,5.0,193.0,1.0,0.0,0,0,0,0,0,0,1.0,1.0,0.0,0,0,8,0,0,3.0,0,0,0,0,0,0.0,0.0,0,0.0,6,2,0,0,0,0,0.0,6,0,0,4,132,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,133.0,0.0,1,13.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0.0,94.0,0.0,1.0,2.0,0,0,0.0,0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,2,6,0,0,0,0.0,0.0,0.0,1,0,0,PEAT,TMIR,mire,RC,"Whitehead,Donald R.",1962,0.0,"Whitehead,Donald R.",1972,"Whitehead, D.R. 1972. ","Whitehead, D.R. 1972. Developmental and environmental history of the Dismal Swamp. Ecological Monographs 42:301-315.",0,0
8,46,47,0,0,85,85,GPD47,G61,Ferndale Bog,-95.808,34.406,263,285.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,1.0,7.0,0,0,0.0,0,0.0,0,0,1.0,36.0,0.0,1.0,0,0.0,0.0,0,0,0,8,0.0,0,0.0,2,0,0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,2,0,0,0,0,0,0.0,0,0,0,0,3,0.0,59,0,0,0,0,0,0.0,0.0,0.0,0.0,67.0,0.0,0,14.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,62.0,0.0,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,13,0,0,PEAT,TRAI,raised bog,RC,"Mehringer,Peter J.",1979,0.0,"Albert,Lois E.",1983,"Hall, S.A. 1983. ","Hall, S.A. 1983. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma (by L.E. Albert). [Book Review] Plains Anthropologist 28:150-151.",0,0
9,53,54,0,0,95,95,GPD54,G70,Goshen Springs,-86.134,31.721,105,516.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,13.0,68.0,0,0,0.0,0,0.0,0,0,0.0,24.0,0.0,0.0,0,0.0,1.0,0,0,0,13,0.0,0,0.0,0,0,0,4.0,0.0,1.0,0.0,0.0,6.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,4.0,8,0,0,0,0,1.0,0.0,0,0.0,6,0,0,0,0,0,0.0,0,0,0,10,22,5.0,0,7,0,0,0,0,0.0,0.0,14.0,0.0,152.0,63.0,0,14.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,68.0,0.0,1.0,1.0,0,0,0.0,0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5,0,1,LACU,LACU,lacustrine,RC,"Delcourt,Paul A.",1976,40.0,"Delcourt,Paul A.",1980,"Delcourt, P.A. 1980. ","Delcourt, P.A. 1980. Goshen Springs: late Quaternary vegetation record for southern Alabama. Ecology 61:371-386.",0,0
