,taxon,WS64
1,?Alces alces,NA
2,?Bison antiquus,NA
3,?Camelops sp.,NA
4,?Canis lupus,NA
5,?Capra hircus,NA
6,?Castor canadensis,NA
7,?Equus sp.,NA
8,?Geomys sp.,NA
9,?Glyptodontidae,NA
10,?Hemiauchenia sp.,NA
11,?Mammut americanum,NA
12,?Mammuthus imperator,NA
13,?Mammuthus jeffersonii,NA
14,?Marmota,NA
15,?Martes americana,NA
16,?Mephitis mephitis,NA
17,?Microtus sp.,NA
18,?Mustelidae,NA
19,?Neotoma,NA
20,?Neotoma cinerea,NA
21,?Nothrotheriops sp.,NA
22,?Odocoileus hemionus,NA
23,?Pappogeomys castanops,NA
24,?Perognathus flavus,NA
25,?Perognathus sp.,NA
26,?Peromyscus boylii,NA
27,?Peromyscus leucopus,NA
28,?Peromyscus sp.,NA
29,?Peromyscus truei,NA
30,?Procyon lotor,NA
31,?Spermophilus lateralis,NA
32,?Spilogale putorius,NA
33,?Sus scrofa,NA
34,?Sylvilagus sp.,NA
35,?Tamias striatus,NA
36,?Tamiasciurus hudsonicus,NA
37,?Ursus,NA
38,?Vulpes vulpes,NA
39,[unassigned] Caenogastropoda,NA
40,Abies,Abies
41,Abies alba,Abies
42,Abies balsamea,Abies
43,Abies marocana,Abies
44,Abies nordmanniana,Abies
45,Abies sibirica,Abies
46,Abies undiff.,Abies
47,Abronia,NA
48,Abutilon,Minor Forbs
49,Abutilon-type,Minor Forbs
50,Acacia,NA
51,Acacia (type I),NA
52,Acacia (type III),NA
53,Acaena,Rosaceae
54,Acaena-type,Rosaceae
55,Acalypha,Minor Forbs
56,Acalypha (large),Minor Forbs
57,Acalypha (type 2),Minor Forbs
58,Acalypha cf. A. rhomboidea,Minor Forbs
59,Acalypha undiff.,Minor Forbs
60,Acanthaceae,NA
61,Acanthaceae undiff.,NA
62,Acanthis,NA
63,Acanthis cf. A. flammea,NA
64,Acanthis cf. A. hornemanni,NA
65,Acanthis flammea,NA
66,Acanthis hornemanni,NA
67,Acanthis sp.,NA
68,Acanthochitonidae,NA
69,Acanthocybium,NA
70,Acanthocybium solandri,NA
71,Acantholimon,NA
72,Acanthopsetta,NA
73,Acanthopsetta nadeshnyi,NA
74,Acanthus,NA
75,Acanthus-type,NA
76,Acaulon-type,NA
77,Accipiter,NA
78,Accipiter cf. A. cooperii,NA
79,Accipiter cf. A. gentilis,NA
80,Accipiter cf. A. striatus,NA
81,Accipiter cooperii,NA
82,Accipiter gentilis,NA
83,Accipiter sp.,NA
84,Accipiter striatus,NA
85,Accipitridae,NA
86,Accipitriformes,NA
87,Accipitrinae,NA
88,Acer,Acer
89,Acer campestre,Acer
90,Acer campestre-type,Acer
91,Acer cf. A. campestre,Acer
92,Acer cf. A. glabrum,Acer
93,Acer cf. A. negundo,Acer
94,Acer cf. A. pensylvanicum,Acer
95,Acer circinatum,Acer
96,Acer circinatum-type,Acer
97,Acer glabrum,Acer
98,Acer macrophyllum,Acer
99,Acer macrophyllum-type,Acer
100,Acer negundo,Acer
101,Acer nigrum,Acer
102,Acer pensylvanicum,Acer
103,Acer platanoides,Acer
104,Acer pseudoplatanus,Acer
105,Acer rubrum,Acer
106,Acer spicatum,Acer
107,Acer undiff.,Acer
108,Achillea,Asteraceae
109,Achillea-type,Asteraceae
110,Achyranthes aspera-type,Chenopodiaceae/Amaranthaceae
111,Achyranthes-type,Chenopodiaceae/Amaranthaceae
112,Acipenser,NA
113,Acipenser cf. A. medirostris,NA
114,Acipenser cf. A. transmontanus,NA
115,Acipenser medirostris,NA
116,Acipenser sp.,NA
117,Acipenser transmontanus,NA
118,Acipenseridae,NA
119,Acipenseriformes,NA
120,Aciphylla,Minor Forbs
121,Acmaea,NA
122,Acmaea mitra,NA
123,Aconitum,NA
124,Aconitum-type,NA
125,Aconogonon,NA
126,Aconogonon alaskanum,NA
127,Aconogonon alpinum,NA
128,Aconogonon alpinum-type,NA
129,Aconogonon ochreatum,NA
130,Aconogonon tripterocarpum,NA
131,Acorus,NA
132,Acorus calamus,NA
133,Acritarchs,NA
134,Acroptilon,Asteraceae
135,Acrostichum,NA
136,Acrostichum-type,NA
137,Actaea,NA
138,Actinemys,NA
139,Actinemys marmorata,NA
140,Actinidiaceae,NA
141,Actinostemon concolor,Minor Forbs
142,Actitis,NA
143,Actitis cf. A. hypoleucos,NA
144,Actitis cf. A. macularius,NA
145,Actitis hypoleucos,NA
146,Actitis macularius,NA
147,Actitis sp.,NA
148,Adenostyles,Asteraceae
149,Adesmia,NA
150,Adiantum,NA
151,Adiantum pedatum,NA
152,Adiantum-type,NA
153,Adonis,NA
154,Adonis aestivalis,NA
155,Adonis-type,NA
156,Adoxa,NA
157,Adoxa moschatellina,NA
